job-id,C,M,E,T_A,T_est,T_D
job-93,4,7,5,4733,55,4902
job-94,3,9,4,4791,92,5035
job-95,4,8,1,4843,63,4982
job-96,6,12,6,4883,73,4977
job-97,6,7,7,4941,203,5184
job-98,4,10,4,5001,611,5631
job-99,3,5,5,5051,55,5292
job-100,6,4,7,5104,221,5431
job-101,4,9,6,5139,97,5531
job-102,3,12,2,5186,18,5460
job-103,4,5,4,5250,15,5269
job-104,4,5,4,5296,39,5623
job-105,5,6,8,5349,11,5652
job-106,1,10,5,5398,153,5787
job-107,6,9,1,5448,57,5642
job-108,4,6,2,5513,82,5863
job-109,2,12,4,5560,53,5768
job-110,2,9,4,5610,156,5792
job-111,1,9,1,5654,136,5916
job-112,6,5,3,5702,193,6153
job-113,5,4,7,5740,140,6074
job-114,3,5,3,5792,141,6142
job-115,3,6,1,5845,48,6147
job-116,5,9,8,5898,152,6285
job-117,6,9,4,5951,92,6134
job-118,5,11,8,6006,293,6509
job-119,3,7,6,6057,51,6344
job-120,6,6,4,6113,66,6294
job-121,4,5,6,6166,40,6359
job-122,1,8,5,6215,50,6419
job-123,2,9,5,6265,106,6440
job-124,4,10,3,6316,76,6459
job-125,4,11,8,6370,144,6728
job-126,1,6,5,6415,226,6846
job-127,3,7,7,6469,224,6767
job-128,5,6,1,6525,296,6976
job-129,1,10,7,6580,80,6918
job-130,4,7,6,6625,37,6929
job-131,4,11,4,6676,350,7126
job-132,3,12,2,6731,717,7693
job-133,6,10,1,6778,85,7068
job-134,5,10,5,6831,97,7130
job-135,5,12,4,6886,220,7311
job-136,2,11,4,6941,228,7459
job-137,3,5,3,6989,31,7068
job-138,1,10,2,7040,251,7587
job-139,3,9,8,7100,77,7378
job-140,1,5,2,7137,49,7237
job-141,2,9,3,7191,22,7341
job-142,4,8,4,7252,134,7411
job-143,4,12,1,7305,132,7478
job-144,4,5,6,7363,41,7469
job-145,2,9,4,7408,35,7691
job-146,4,9,6,7458,157,7853
job-147,2,9,6,7511,99,7899
job-148,2,12,5,7567,147,7901
job-149,1,7,6,7614,64,7809
job-150,6,4,8,7656,147,7809
job-151,2,7,1,7705,51,7998
job-152,2,10,7,7762,65,7938
job-153,5,8,2,7814,57,7889
job-154,5,6,6,7865,26,8174
job-155,1,11,4,7912,340,8499
job-156,5,12,4,7972,11,8263
job-157,5,7,5,8029,24,8222
job-158,2,5,3,8085,135,8461
job-159,2,9,5,8129,23,8259
job-160,1,10,4,8186,95,8509
job-161,3,10,8,8236,101,8375
job-162,5,7,2,8297,385,8815
job-163,3,6,4,8343,53,8600
job-164,6,11,1,8393,163,8622
job-165,3,8,5,8439,55,8621
job-166,2,7,3,8499,59,8648
job-167,2,12,5,8556,174,8791
job-168,6,4,5,8603,51,8838
job-169,4,10,5,8644,17,8704
job-170,3,7,1,8699,76,8878
job-171,3,5,6,8746,13,8835
job-172,4,6,7,8794,256,9147
job-173,5,8,7,8830,154,9088
job-174,5,7,2,8875,125,9126
job-175,1,7,2,8927,152,9238
job-176,2,4,6,8968,229,9204
job-177,5,6,6,9009,157,9403
job-178,6,10,2,9056,270,9487
job-179,1,5,3,9107,36,9389
job-180,1,11,6,9153,274,9520
job-181,2,4,6,9211,127,9527
job-182,5,7,5,9263,130,9581
job-183,4,12,3,9307,250,9803
job-184,6,4,7,9354,161,9800
job-185,2,7,5,9397,269,9784
job-186,1,10,8,9455,122,9581
job-187,5,10,2,9495,229,9791
job-188,2,12,5,9550,11,9591
job-189,6,6,1,9607,67,9732
job-190,3,6,3,9650,141,9799
job-191,3,5,3,9706,76,9932
job-192,1,10,3,9751,19,9941
job-193,3,4,2,9797,15,10084
job-194,4,10,7,9843,179,10080
job-195,1,10,1,9905,255,10238
job-196,3,9,7,9957,261,10447
job-197,2,11,6,10013,51,10130
job-198,6,4,4,10069,111,10450
job-199,4,10,5,10109,248,10451
job-200,4,7,3,10168,103,10502
job-201,1,4,8,10215,75,10434
job-202,1,4,1,10265,100,10386
job-203,5,5,7,10317,129,10707
job-204,1,10,4,10380,33,10574
job-205,3,10,4,10418,70,10638
job-206,1,12,8,10465,240,10879
job-207,3,7,5,10513,34,10575
job-208,1,5,7,10573,130,10958
job-209,4,10,6,10631,91,10943
job-210,5,8,3,10693,60,10988
job-211,3,8,6,10746,201,10997
job-212,3,9,4,10782,65,11121
job-213,5,9,6,10829,47,11118
job-214,1,9,8,10871,31,11138
job-215,4,10,2,10932,54,10999
job-216,5,11,5,10990,37,11141
job-217,5,6,1,11030,116,11218
job-218,6,12,1,11075,79,11304
job-219,3,12,7,11122,197,11560
job-220,2,8,6,11167,200,11451
job-221,4,10,7,11221,107,11401
job-222,3,4,7,11270,197,11716
job-223,6,5,5,11319,43,11634
job-224,2,7,1,11378,510,12060
job-225,4,10,6,11419,80,11584
job-226,3,8,2,11470,143,11766
job-227,5,9,8,11526,51,11688
job-228,3,5,2,11580,11,11814
job-229,2,4,4,11640,22,11858
job-230,6,12,3,11691,155,12065
job-231,4,9,2,11744,51,11846
job-232,3,4,2,11787,26,12067
job-233,5,12,5,11832,225,12340
job-234,6,9,7,11884,43,12176
job-235,1,6,4,11927,31,12114
job-236,3,12,3,11994,115,12120
job-237,5,9,8,12042,127,12432
job-238,5,4,3,12086,44,12254
job-239,4,6,7,12136,66,12392
job-240,4,4,2,12180,28,12306
job-241,4,4,8,12221,141,12561
job-242,2,9,6,12274,338,12636
job-243,4,7,7,12317,292,12877
job-244,5,7,5,12370,155,12814
job-245,1,4,1,12408,26,12483
job-246,3,5,3,12457,80,12828
job-247,5,8,7,12533,51,12603
job-248,6,8,5,12574,65,12685
job-249,1,6,3,12620,24,12781
job-250,3,9,3,12672,365,13168
job-251,3,6,6,12729,86,13045
job-252,4,12,1,12787,85,12936
job-253,2,6,4,12831,32,13158
job-254,5,9,8,12888,138,13126
job-255,2,7,6,12942,126,13252
job-256,3,11,1,12986,95,13330
job-257,5,5,8,13025,214,13459
job-258,6,10,8,13062,106,13387
job-259,2,5,8,13104,45,13224
job-260,1,6,2,13147,231,13505
job-261,2,7,5,13204,38,13387
job-262,4,4,1,13255,40,13546
job-263,3,12,3,13310,46,13590
job-264,3,4,1,13357,64,13520
job-265,2,8,8,13413,43,13649
job-266,4,4,5,13470,22,13783
job-267,2,9,5,13520,164,13882
job-268,6,10,5,13570,87,13741
job-269,1,7,5,13623,90,13855
job-270,5,9,6,13674,38,13917
job-271,1,12,3,13733,416,14417
job-272,3,11,1,13773,179,14100
job-273,3,11,3,13824,192,14280
job-274,4,12,1,13880,176,14207
job-275,1,9,1,13932,186,14271
job-276,4,9,3,13990,126,14155
job-277,6,9,7,14041,42,14318
job-278,5,8,7,14087,132,14423
job-279,4,8,3,14142,21,14346
job-280,3,11,5,14198,41,14491
job-281,4,4,8,14259,278,14617
job-282,3,10,2,14313,77,14421
job-283,4,7,3,14354,205,14820
job-284,3,9,1,14398,46,14610
job-285,2,6,8,14441,31,14756
job-286,4,5,8,14491,80,14573
job-287,1,10,3,14540,74,14677
job-288,5,11,1,14588,11,14886
job-289,3,5,7,14624,44,14786
job-290,2,10,5,14663,25,14735
job-291,1,9,3,14712,56,14985
job-292,4,7,2,14761,10,14789
job-293,3,11,5,14814,185,15023
job-294,1,5,4,14860,77,15211
job-295,4,12,8,14915,66,15064
job-296,2,4,7,14963,74,15127
job-297,2,10,6,15002,48,15340
job-298,6,8,6,15056,77,15137
job-299,1,7,8,15105,152,15444
job-300,3,9,3,15158,127,15521
job-301,6,9,2,15223,205,15516
job-302,2,5,8,15273,30,15387
job-303,4,5,7,15323,13,15372
job-304,3,8,3,15367,28,15495
job-305,6,10,2,15421,91,15575
job-306,6,9,2,15470,56,15691
job-307,2,11,2,15518,28,15662
job-308,5,11,3,15560,82,15721
job-309,1,12,5,15606,282,15968
job-310,6,8,8,15650,117,15819
job-311,1,11,1,15707,44,15813
job-312,6,11,4,15760,588,16588
job-313,1,12,7,15822,27,16019
job-314,3,8,2,15875,32,16076
job-315,6,6,7,15934,18,16131
job-316,4,6,4,15990,107,16308
job-317,5,11,8,16038,177,16270
job-318,1,5,5,16089,27,16174
job-319,3,4,2,16126,145,16399
job-320,2,12,7,16170,102,16284
job-321,6,12,8,16204,45,16299
job-322,2,8,4,16253,67,16398
job-323,5,11,6,16309,68,16462
job-324,4,12,6,16357,260,16745
job-325,4,12,5,16399,87,16496
job-326,4,6,3,16449,111,16603
job-327,4,10,3,16489,108,16752
job-328,5,7,8,16536,72,16804
job-329,6,9,7,16571,56,16876
job-330,4,8,8,16635,152,16946
job-331,1,6,3,16681,45,16896
job-332,4,12,5,16737,59,16802
job-333,5,11,6,16786,14,16821
job-334,6,9,5,16846,29,17041
job-335,2,7,2,16900,48,17010
job-336,2,7,8,16938,179,17303
job-337,1,10,3,16982,238,17268
job-338,2,9,4,17017,58,17312
job-339,2,12,8,17060,277,17499
job-340,6,4,2,17107,122,17447
job-341,6,4,6,17162,130,17535
job-342,4,10,4,17218,60,17469
job-343,3,9,6,17268,48,17479
job-344,2,4,7,17324,303,17882
job-345,5,10,8,17385,169,17656
job-346,1,10,8,17436,77,17523
job-347,2,5,3,17483,14,17761
job-348,4,6,8,17537,149,17748
job-349,5,12,5,17575,228,17972
job-350,1,8,7,17637,15,17941
job-351,5,7,3,17691,149,17879
job-352,6,8,1,17751,23,18066
job-353,6,4,3,17811,436,18348
job-354,3,12,3,17868,55,18087
job-355,5,7,1,17921,17,18002
job-356,3,7,7,17977,46,18023
job-357,6,8,4,18032,99,18261
job-358,6,7,8,18077,89,18245
job-359,4,6,6,18115,38,18366
job-360,2,8,8,18175,45,18240
job-361,6,12,3,18236,464,18798
job-362,3,7,3,18291,82,18474
job-363,5,5,7,18333,232,18601
job-364,6,7,4,18374,140,18793
job-365,3,11,2,18432,40,18639
job-366,2,12,1,18477,84,18563
job-367,3,5,5,18528,45,18712
job-368,5,4,6,18565,114,18866
job-369,5,7,3,18620,106,18727
job-370,2,10,1,18675,46,18804
job-371,3,5,8,18723,54,18855
job-372,5,7,5,18767,67,18873
job-373,2,10,4,18815,26,18941
job-374,4,9,1,18865,60,18984
job-375,4,11,1,18908,122,19276
job-376,4,9,5,18945,21,19163
job-377,3,8,1,18998,203,19242
job-378,5,9,2,19045,22,19084
job-379,5,11,4,19086,40,19245
job-380,2,4,7,19139,22,19381
job-381,5,12,4,19191,132,19380
job-382,5,11,4,19266,81,19642
job-383,2,11,1,19315,24,19461
job-384,2,10,1,19380,255,19685
job-385,2,8,4,19429,241,19729
job-386,2,10,3,19481,110,19606
job-387,2,7,5,19523,353,20138
job-388,2,5,7,19567,70,19787
job-389,2,7,8,19629,15,19737
job-390,5,10,6,19687,50,19750
job-391,3,12,2,19736,19,20013
job-392,5,9,6,19776,36,20039
job-393,4,6,6,19826,194,20314
job-394,6,4,5,19885,73,20016
job-395,2,12,1,19942,61,20231
job-396,5,4,7,19994,42,20114
job-397,2,8,4,20038,26,20265
job-398,1,7,1,20083,108,20444
job-399,2,7,4,20130,606,20851
job-400,5,4,3,20180,48,20418
job-401,2,8,7,20229,17,20509
job-402,3,8,6,20284,32,20328
job-403,2,7,7,20328,49,20438
job-404,5,5,4,20372,235,20701
job-405,1,5,6,20422,148,20750
job-406,1,6,8,20465,374,20890
job-407,1,4,1,20520,88,20856
job-408,1,9,6,20566,27,20610
job-409,1,10,5,20621,124,20891
job-410,6,9,8,20664,205,20936
job-411,4,5,3,20711,89,21008
job-412,3,6,2,20768,76,21036
job-413,4,12,5,20810,38,20955
job-414,6,4,2,20860,152,21171
job-415,1,6,8,20910,34,20986
job-416,5,4,2,20968,90,21269
job-417,1,10,3,21016,12,21210
job-418,2,11,2,21063,140,21429
job-419,3,6,1,21113,665,22012
job-420,1,11,5,21157,45,21277
job-421,3,5,4,21195,39,21508
job-422,6,5,6,21260,338,21703
job-423,3,7,4,21314,201,21620
job-424,1,6,6,21366,10,21664
job-425,5,12,6,21428,165,21849
job-426,2,9,4,21475,38,21602
job-427,2,11,1,21528,150,21973
job-428,6,6,8,21577,61,21729
job-429,6,4,6,21626,32,21818
job-430,6,10,6,21675,15,21732
job-431,1,8,4,21732,103,22064
job-432,5,6,6,21791,43,22026
job-433,3,6,5,21854,600,22734
job-434,5,7,4,21896,43,22019
job-435,5,11,6,21945,50,22093
job-436,4,4,8,21997,147,22265
job-437,6,7,4,22045,229,22361
job-438,2,7,6,22101,78,22284
job-439,6,5,5,22150,17,22432
job-440,3,11,1,22211,414,22660
job-441,4,12,7,22255,97,22506
job-442,5,6,2,22305,56,22412
job-443,5,7,4,22350,64,22546
job-444,6,10,1,22403,40,22534
job-445,5,7,7,22456,737,23445
job-446,5,8,7,22502,265,23024
job-447,1,8,7,22551,42,22799
job-448,2,7,8,22609,54,22737
job-449,6,12,7,22649,295,22945
job-450,3,8,3,22709,41,22960
job-451,5,12,5,22751,48,22823
job-452,2,12,4,22807,203,23013
job-453,4,8,5,22842,73,23013
job-454,1,12,1,22907,171,23270
job-455,4,4,2,22947,214,23236
job-456,6,9,4,22998,23,23269
job-457,6,5,4,23055,193,23349
job-458,5,12,5,23114,149,23365
job-459,5,12,3,23166,461,23739
job-460,5,9,1,23213,147,23623
job-461,4,5,1,23254,89,23442
job-462,1,9,1,23303,360,23677
job-463,1,6,6,23346,31,23418
job-464,1,6,6,23393,24,23530
job-465,4,9,4,23444,91,23551
job-466,2,12,5,23484,168,23810
job-467,1,6,3,23537,101,23696
job-468,4,12,2,23596,152,24041
job-469,5,5,2,23644,43,23930
job-470,2,8,7,23689,101,24063
job-471,4,6,7,23741,182,24107
job-472,4,10,1,23799,149,24241
job-473,6,5,7,23852,209,24229
job-474,1,5,4,23900,20,24102
job-475,2,11,5,23946,153,24365
job-476,4,9,3,23991,100,24243
job-477,3,11,5,24047,40,24131
job-478,3,10,3,24099,89,24458
job-479,5,10,1,24154,157,24534
job-480,3,9,3,24209,17,24482
job-481,6,12,1,24254,160,24548
job-482,3,5,5,24305,176,24663
job-483,1,8,7,24348,23,24612
job-484,2,12,8,24407,36,24504
job-485,4,9,5,24469,189,24674
job-486,5,6,5,24524,228,24910
job-487,5,10,6,24572,211,25054
job-488,3,5,1,24616,112,24998
job-489,6,5,4,24666,32,24919
job-490,6,9,5,24706,244,24964
job-491,6,9,6,24759,127,25157
job-492,5,4,4,24816,241,25323
job-493,2,12,8,24873,11,24987
job-494,5,8,6,24918,20,25030
job-495,1,8,6,24960,82,25310
job-496,4,11,1,25004,347,25502
job-497,4,5,5,25047,180,25385
job-498,3,10,6,25087,39,25208
job-499,4,11,7,25134,135,25333
job-500,4,5,1,25187,157,25637
job-501,1,10,7,25241,686,26098
job-502,6,5,5,25301,168,25501
job-503,5,5,4,25353,327,25949
job-504,1,8,1,25410,20,25642
job-505,4,7,1,25469,67,25817
job-506,5,5,8,25530,66,25807
job-507,2,6,4,25577,61,25873
job-508,4,6,6,25622,129,25931
job-509,3,11,8,25682,161,26033
job-510,5,12,4,25734,10,25974
job-511,4,6,2,25773,66,26002
job-512,2,7,6,25820,23,25951
job-513,6,5,2,25872,110,26263
job-514,5,8,6,25919,31,25994
job-515,2,11,8,25973,12,26186
job-516,4,6,6,26034,33,26192
job-517,5,5,4,26097,208,26453
job-518,1,6,3,26158,18,26206
job-519,5,10,3,26206,173,26593
job-520,2,7,3,26241,191,26591
job-521,2,6,6,26297,73,26645
job-522,3,9,2,26354,155,26705
job-523,1,4,7,26401,23,26534
job-524,2,8,5,26461,25,26681
job-525,4,11,7,26519,34,26588
job-526,6,8,6,26564,143,26896
job-527,4,5,1,26605,42,26909
job-528,6,12,7,26643,96,26828
job-529,4,9,1,26689,158,27074
job-530,5,8,2,26733,100,27102
job-531,1,7,7,26768,157,26962
job-532,5,5,2,26811,376,27381
job-533,4,11,5,26856,175,27196
job-534,1,6,6,26909,118,27256
job-535,4,6,6,26956,20,27222
job-536,1,10,7,27005,20,27275
job-537,3,7,2,27051,64,27135
job-538,4,4,1,27103,79,27257
job-539,1,10,7,27134,139,27380
job-540,3,10,6,27183,67,27517
job-541,6,8,5,27230,11,27327
job-542,6,10,3,27282,102,27476
job-543,3,9,2,27337,298,27897
job-544,4,4,3,27386,258,27922
job-545,5,4,7,27437,407,27899
job-546,3,12,7,27500,25,27533
job-547,3,5,5,27548,342,28033
job-548,5,7,1,27596,92,27772
job-549,5,8,5,27646,37,27691
job-550,4,5,1,27700,77,27970
job-551,3,12,5,27749,56,27881
job-552,2,10,2,27802,160,28172
job-553,5,12,6,27874,34,27919
job-554,1,8,2,27920,191,28300
job-555,6,6,5,27965,87,28194
job-556,5,12,1,28013,63,28363
job-557,3,10,5,28059,91,28207
job-558,3,5,1,28114,33,28211
job-559,6,7,2,28168,406,28575
job-560,6,8,1,28217,209,28483
job-561,5,7,3,28264,229,28575
job-562,1,7,3,28310,97,28574
job-563,2,8,5,28355,74,28445
job-564,4,4,6,28396,125,28720
job-565,1,6,2,28443,339,29071
job-566,4,5,6,28495,55,28795
job-567,2,9,6,28554,129,28759
job-568,1,10,8,28602,101,28970
job-569,4,10,4,28645,77,28792
job-570,5,9,6,28687,169,29117
job-571,1,8,3,28754,71,28993
job-572,6,11,7,28786,16,28893
job-573,5,12,8,28831,36,29068
job-574,1,12,8,28884,211,29175
job-575,5,6,5,28926,74,29175
job-576,2,6,4,28981,131,29364
job-577,4,8,3,29038,184,29333
job-578,5,10,8,29097,12,29408
job-579,1,5,1,29155,46,29333
job-580,3,9,7,29212,31,29385
job-581,3,8,7,29265,71,29421
job-582,6,5,8,29314,179,29787
job-583,5,8,3,29362,206,29579
job-584,6,4,3,29410,101,29579
job-585,5,11,1,29462,115,29583
job-586,4,5,2,29509,22,29748
job-587,2,12,5,29560,14,29771
job-588,6,6,8,29612,52,29933
job-589,4,5,8,29672,51,29848
job-590,6,6,7,29724,13,29863
job-591,6,5,6,29782,294,30288
job-592,6,6,1,29824,76,30183
job-593,5,9,2,29880,257,30320
job-594,3,7,3,29919,39,30017
job-595,2,11,7,29965,10,30081
job-596,3,4,3,30007,43,30267
job-597,4,6,7,30050,69,30323
job-598,5,10,1,30100,109,30420
job-599,4,5,6,30142,19,30162
job-600,6,11,7,30183,58,30411
job-601,1,9,7,30230,162,30598
job-602,1,4,4,30283,35,30331
job-603,3,9,2,30331,79,30619
job-604,2,4,8,30383,41,30459
job-605,6,11,3,30436,98,30689
job-606,5,6,8,30496,16,30667
job-607,3,9,2,30549,116,30868
job-608,1,9,2,30592,73,30944
job-609,2,4,8,30638,55,30923
job-610,2,11,7,30694,26,30728
job-611,5,10,2,30742,11,30780
job-612,4,11,6,30793,355,31278
job-613,4,12,4,30858,16,30963
job-614,2,5,6,30900,15,31117
job-615,5,10,1,30943,110,31343
job-616,5,12,7,31006,52,31142
job-617,6,8,3,31066,49,31315
job-618,1,5,4,31118,15,31164
job-619,6,6,1,31162,246,31707
job-620,6,12,2,31205,36,31414
job-621,2,7,3,31262,113,31635
job-622,6,12,6,31302,88,31584
job-623,4,4,7,31357,67,31485
job-624,1,8,3,31407,76,31743
job-625,1,8,3,31462,40,31693
job-626,2,11,5,31521,15,31626
job-627,4,7,2,31572,29,31695
job-628,6,6,6,31632,69,31851
job-629,4,9,4,31680,134,31956
job-630,4,8,1,31737,22,31759
job-631,6,6,7,31794,106,32069
job-632,5,4,8,31839,34,32156
job-633,1,4,2,31893,207,32385
job-634,5,7,3,31938,64,32287
job-635,2,4,1,31987,12,32007
job-636,4,6,4,32035,304,32372
job-637,4,5,5,32079,16,32350
job-638,6,10,4,32131,255,32651
job-639,5,7,6,32177,29,32227
job-640,4,4,7,32228,324,32621
job-641,2,9,5,32283,316,32602
job-642,1,11,8,32328,41,32429
job-643,4,5,5,32372,66,32506
job-644,3,12,5,32429,129,32618
job-645,5,4,6,32472,107,32851
job-646,2,12,6,32528,23,32715
job-647,6,12,6,32580,119,32877
job-648,1,7,3,32626,75,32928
job-649,1,7,4,32680,124,33076
job-650,6,10,6,32732,105,33068
job-651,5,7,7,32781,44,33124
job-652,5,12,2,32826,321,33292
job-653,5,8,2,32873,137,33251
job-654,1,12,5,32923,17,33201
job-655,5,7,3,32965,41,33086
job-656,3,7,3,33013,13,33117
job-657,3,12,2,33053,68,33259
job-658,2,11,2,33105,11,33215
job-659,1,12,4,33159,205,33609
job-660,6,8,3,33210,703,34195
job-661,3,9,3,33261,42,33304
job-662,4,6,6,33317,13,33430
job-663,5,6,4,33360,200,33723
job-664,1,7,3,33405,72,33772
job-665,2,6,7,33450,153,33725
job-666,4,6,6,33511,13,33530
job-667,3,8,4,33562,46,33765
job-668,1,11,8,33606,10,33705
job-669,1,11,7,33651,34,33915
job-670,2,10,5,33704,440,34349
job-671,3,7,8,33758,22,33998
job-672,2,8,4,33802,35,33891
job-673,5,4,1,33863,189,34267
job-674,1,12,4,33915,35,34112
job-675,1,6,3,33957,203,34328
job-676,2,4,5,34005,77,34223
job-677,1,8,6,34066,37,34160
job-678,1,5,6,34109,57,34234
job-679,1,11,7,34149,20,34199
job-680,3,10,4,34209,331,34676
job-681,2,10,8,34260,87,34625
job-682,6,12,5,34308,179,34501
job-683,5,12,5,34363,253,34622
job-684,6,4,7,34412,33,34587
job-685,6,10,3,34455,209,34741
job-686,4,6,3,34503,151,34744
job-687,4,11,3,34546,253,35057
job-688,5,11,2,34595,22,34630
job-689,4,4,2,34644,201,34864
job-690,4,9,6,34693,16,34711
job-691,3,7,5,34740,58,34880
job-692,5,10,7,34789,33,35010
job-693,6,12,3,34836,63,34927
job-694,3,8,8,34873,14,34993
job-695,1,6,7,34914,46,35003
job-696,1,11,7,34953,101,35280
job-697,5,6,8,34997,63,35282
job-698,6,9,3,35055,30,35120
job-699,4,9,4,35091,31,35131
job-700,4,12,1,35139,242,35453
job-701,6,7,4,35183,61,35355
job-702,6,7,2,35237,179,35639
job-703,6,4,5,35278,112,35463
job-704,4,12,8,35328,217,35738
job-705,2,5,1,35381,60,35567
job-706,3,8,5,35445,128,35636
job-707,1,12,2,35499,286,35812
job-708,3,6,8,35543,13,35580
job-709,5,5,8,35589,47,35773
job-710,2,6,4,35647,35,35925
job-711,3,10,4,35707,99,36014
job-712,5,12,8,35750,24,36062
job-713,5,6,8,35796,17,36096
job-714,3,5,2,35845,77,36110
job-715,6,11,2,35892,43,36210
job-716,1,11,8,35937,82,36121
job-717,5,11,1,35987,114,36400
job-718,1,12,5,36043,33,36210
job-719,6,9,7,36099,19,36181
job-720,6,4,8,36137,15,36394
job-721,4,11,4,36177,15,36207
job-722,3,4,4,36230,92,36550
job-723,1,6,8,36273,92,36527
job-724,1,10,4,36329,179,36709
job-725,3,9,1,36380,76,36493
job-726,5,10,5,36425,219,36842
job-727,5,10,2,36488,92,36754
job-728,2,7,3,36539,27,36645
job-729,1,4,6,36596,213,36925
job-730,3,12,5,36652,73,36838
job-731,5,9,8,36701,25,36917
job-732,2,10,6,36761,68,37014
job-733,4,9,1,36826,55,36943
job-734,1,10,5,36868,62,37118
job-735,4,11,5,36916,63,37222
job-736,1,4,5,36978,69,37234
job-737,4,10,8,37016,160,37278
job-738,2,8,1,37070,67,37407
job-739,3,10,8,37106,52,37290
job-740,3,4,3,37150,37,37209
job-741,2,6,7,37208,121,37372
job-742,4,7,1,37272,54,37599
job-743,1,7,2,37320,20,37460
job-744,4,8,5,37377,18,37685
job-745,3,10,2,37414,203,37908
job-746,4,8,5,37460,108,37587
job-747,5,10,1,37505,98,37689
job-748,5,10,1,37550,26,37621
job-749,3,12,1,37604,52,37700
job-750,3,8,5,37653,73,38010
job-751,3,11,2,37708,144,38090
job-752,1,10,1,37743,59,37983
job-753,2,4,1,37787,85,38057
job-754,2,11,2,37837,167,38145
job-755,3,10,8,37901,32,38201
job-756,3,6,8,37953,206,38175
job-757,4,7,6,38003,33,38192
job-758,1,9,3,38043,106,38278
job-759,5,9,2,38093,50,38255
job-760,3,8,8,38144,96,38242
job-761,1,12,5,38208,271,38771
job-762,4,8,1,38257,54,38493
job-763,5,11,4,38312,71,38639
job-764,1,4,5,38370,12,38651
job-765,6,8,3,38414,36,38566
job-766,2,6,3,38454,52,38790
job-767,3,12,7,38506,152,38805
job-768,1,8,5,38568,57,38652
job-769,4,8,2,38628,34,38664
job-770,2,7,1,38672,59,39027
job-771,6,12,6,38717,14,38962
job-772,5,5,3,38767,92,39122
job-773,3,8,8,38811,34,39077
job-774,3,4,5,38861,15,39025
job-775,6,11,5,38925,69,39257
job-776,6,9,7,38980,35,39270
